t(s),E(s),F(s),theta,E(theta),F(theta)
179.4,0.005122576,0.4196698,0.8245647,1.115212,0.4196698
180,0.005394912,0.422825,0.8273225,1.174611,0.422825
180.6,0.005643423,0.4261365,0.8300802,1.228978,0.4261365
181.2,0.005518236,0.429485,0.832838,1.201689,0.429485
181.8,0.005546666,0.4328045,0.8355957,1.207279,0.4328045
182.4,0.005670028,0.4361695,0.8383535,1.234437,0.4361695
183,0.005237221,0.4394417,0.8411112,1.139591,0.4394417
183.6,0.005314757,0.4426072,0.8438689,1.15631,0.4426072
184.2,0.005258503,0.4457792,0.8466267,1.143883,0.4457792
184.8,0.004920225,0.4488328,0.8493844,1.070416,0.4488328
185.4,0.004913108,0.4517828,0.8521422,1.069075,0.4517828
186,0.004931311,0.4547362,0.8548999,1.073428,0.4547362
186.6,0.004991733,0.4577131,0.8576576,1.086517,0.4577131
187.2,0.005049786,0.4607255,0.8604154,1.09917,0.4607255
187.8,0.00516804,0.4637909,0.8631731,1.124868,0.4637909
188.4,0.005130529,0.4668804,0.8659309,1.116804,0.4668804
189,0.005027728,0.469928,0.8686886,1.094319,0.469928
189.6,0.004878837,0.4728999,0.8714463,1.062014,0.4728999
190.2,0.004925087,0.4758411,0.8742041,1.071899,0.4758411
190.8,0.005078588,0.4788422,0.8769618,1.105009,0.4788422
191.4,0.005023595,0.4818728,0.8797196,1.092968,0.4818728
192,0.005071098,0.4849012,0.8824773,1.103376,0.4849012
192.6,0.004880203,0.4878866,0.8852351,1.062054,0.4878866
193.2,0.004927797,0.490829,0.8879928,1.072618,0.490829
193.8,0.005125862,0.4938451,0.8907506,1.115774,0.4938451
194.4,0.005086259,0.4969087,0.8935083,1.106733,0.4969087
195,0.004916415,0.4999096,0.896266,1.069265,0.4999096
195.6,0.004659885,0.5027825,0.8990237,1.013299,0.5027825
196.2,0.004496106,0.5055293,0.9017815,0.9782511,0.5055293
196.8,0.004553941,0.5082443,0.9045392,0.9908275,0.5082443
197.4,0.004394181,0.5109287,0.907297,0.956258,0.5109287
198,0.004626074,0.5136348,0.9100547,1.006663,0.5136348
198.6,0.004802766,0.5164634,0.9128125,1.044881,0.5164634
199.2,0.004952203,0.5193899,0.9155702,1.076921,0.5193899
199.8,0.004920119,0.5223516,0.918328,1.070152,0.5223516
200.4,0.004856796,0.5252847,0.9210857,1.056156,0.5252847
201,0.004765945,0.5281715,0.9238434,1.036556,0.5281715
201.6,0.00475114,0.5310266,0.9266012,1.033354,0.5310266
202.2,0.004557947,0.5338194,0.9293589,0.991716,0.5338194
202.8,0.004559301,0.5365545,0.9321167,0.9918948,0.5365545
203.4,0.004644655,0.5393157,0.9348744,1.010819,0.5393157
204,0.00469269,0.5421169,0.9376321,1.021699,0.5421169
204.6,0.004631813,0.5449143,0.9403899,1.008084,0.5449143
